goodreads_library_export (2)
Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Added
52268640,Memphis,Tara M. Stringfellow,"Stringfellow, Tara M.",,0593230485,9780593230480,4.14,The Dial Press,Hardcover,252,2022,2022,2022/06/16
5697,The Complete Short Novels,Anton Chekhov,"Chekhov, Anton","Richard Pevear, Larissa Volokhonsky",140003292X,9781400032921,4.47,Vintage Classics,Paperback,548,2005,1896,2022/07/10
59148726,"Rogues: True Stories of Grifters, Killers, Rebels and Crooks",Patrick Radden Keefe,"Keefe, Patrick Radden",,0385548516,9780385548519,4.01,Doubleday,Hardcover,368,2022,2022,2022/07/02
59109077,Horse,Geraldine Brooks,"Brooks, Geraldine",,0399562966,9780399562969,4.34,Viking,Hardcover,401,2022,2022,2022/09/18
61109599,"Secretly Yours (A Vine Mess, #1)",Tessa Bailey,"Bailey, Tessa",,0063238985,9780063238985,3.40,Avon,Paperback,384,2023,2023,2022/10/01
35297272,Emergency Contact,Mary H.K. Choi,"Choi, Mary H.K.",,1534408967,9781534408968,3.66,Simon & Schuster Books for Young Readers,Hardcover,394,2018,2018,2022/11/14
7696504,Memory Wall,Anthony Doerr,"Doerr, Anthony",,1439182809,9781439182802,4.09,Scribner,Hardcover,243,2010,2010,2022/11/20
36510722,Gods of Jade and Shadow,Silvia Moreno-Garcia,"Moreno-Garcia, Silvia",,,,3.90,Del Rey,Hardcover,338,2019,2019,2023/02/19
57605091,All Rhodes Lead Here,Mariana Zapata,"Zapata, Mariana",,,,4.33,,Kindle Edition,572,2021,2021,2023/02/19
55710822,Better Than the Movies,Lynn Painter,"Painter, Lynn",,1534467629,9781534467620,4.30,Simon & Schuster Books for Young Readers,Hardcover,356,2021,2021,2022/12/23
54660653,Twice Shy,Sarah Hogle,"Hogle, Sarah",,0593085531,9780593085530,3.70,G.P. Putnam's Sons,Paperback,302,2021,2021,2023/01/17
58950713,How to Be Eaten,Maria Adelmann,"Adelmann, Maria",,0316450847,9780316450843,3.68,"Little, Brown and Company",Hardcover,291,2022,2022,2023/02/19
55311334,The Beautiful Ones,Silvia Moreno-Garcia,"Moreno-Garcia, Silvia",,,,3.88,,Kindle Edition,320,2021,2017,2023/02/19
61102615,Stone Blind,Natalie Haynes,"Haynes, Natalie",,0063258390,9780063258396,3.94,Harper,Hardcover,373,2023,2022,2023/02/22
61399125,What Happened to Ruthy Ramirez,Claire Jiménez,"Jiménez, Claire",,1538725967,9781538725962,3.53,Grand Central Publishing,Hardcover,240,2023,2023,2023/02/22
61918816,"Yours Truly (Part of Your World, #2)",Abby Jimenez,"Jimenez, Abby",,1538704390,9781538704394,4.51,Forever,Paperback,416,2023,2023,2023/03/31
61150759,The Last Tale of the Flower Bride,Roshani Chokshi,"Chokshi, Roshani",,0063206501,9780063206502,3.76,William Morrow,Hardcover,304,2023,2023,2023/04/11
60435878,Carrie Soto Is Back,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,0593158687,9780593158685,4.24,Ballantine Books,Hardcover,384,2022,2022,2023/04/17
61149872,The Inmate,Freida McFadden,"McFadden, Freida",,,,4.18,Hollywood Upstairs Press ,Kindle Edition,302,2022,2022,2023/04/14
23995336,The Tsar of Love and Techno,Anthony Marra,"Marra, Anthony",,0770436439,9780770436438,4.28,Hogarth Press,Hardcover,332,2015,2015,2023/04/14
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,,,4.25,William Morrow,Mass Market Paperback,491,2006,1990,2023/04/14
14497,"Neverwhere (London Below, #1)",Neil Gaiman,"Gaiman, Neil",,0060557818,9780060557812,4.17,William Morrow Paperbacks,Paperback,370,2003,1996,2023/04/14
61030572,The Ballad of Perilous Graves,Alex  Jennings,"Jennings, Alex",,0759557209,9780759557208,3.65,Redhook,Paperback,480,2023,2022,2023/04/13
60880603,"When I'm Gone, Look for Me in the East",Quan Barry,"Barry, Quan",,0525565442,9780525565444,4.02,Vintage,Paperback,320,2023,2022,2023/04/13
76703559,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,"Maas, Sarah J.",,1619630346,9781619630345,4.19,Bloomsbury USA ,Paperback,432,2023,2012,2023/04/02
123008168,My Dark Romeo,Parker S. Huntington,"Huntington, Parker S.",L.J. Shen,1950209075,9781950209071,4.00,PSH Publishing,Paperback,366,2023,,2023/04/02
54785481,Certain Dark Things,Silvia Moreno-Garcia,"Moreno-Garcia, Silvia",,1250785588,9781250785589,3.75,Tor Nightfire,Paperback,272,2021,2016,2023/03/31
41830657,Islands of Abandonment,Cal Flyn,"Flyn, Cal",,,,4.21,William Collins,Hardcover,376,2021,2021,2023/03/29
61187675,Alone with You in the Ether,Olivie Blake,"Blake, Olivie",,,,4.00,Tor Books,Kindle Edition,272,2022,2020,2023/02/18
59729042,"Babel, or the Necessity of Violence: An Arcane History of the Oxford Translators' Revolution",R.F. Kuang,"Kuang, R.F.",,,,4.28,Harper Voyager,Kindle Edition,560,2022,2022,2022/09/02
